x1,x2
0.575127332,1.884040045
0.190861088,0.533202466
0.737873571,2.033568702
0.157850572,1.942102059
-1.609134959,-0.973358051
-0.260610711,0.331551922
1.172034722,1.687950086
0.197793261,1.847072468
1.491345987,1.362408257
-0.189318572,-0.478243735
0.48471828,2.455337047
-0.32808284,-0.635977743
0.487953522,1.864764112
0.031233389,1.575883831
-0.51469817,0.201640199
1.243038435,1.229347634
-0.003557005,1.399088262
0.675432062,1.396765484
0.414357927,0.99816071
2.45771747,1.977431645
0.062410944,0.960758503
0.638385908,0.870462172
-1.497665052,0.761055984
1.431287421,1.030839454
1.132699399,3.449237486
1.360842292,2.539664664
1.482666789,1.062076845
0.084603796,-1.599577533
-1.22712409,0.573974505
0.319698586,1.971804383
0.07376726,1.159169033
0.561997543,1.222603695
1.098882777,2.153297306
1.080389556,1.566129907
-1.925040644,-0.599279548
-0.022944157,1.457317441
-0.415273299,-0.166208321
-0.641888659,-0.453656585
0.617189107,1.528190053
-1.03662712,0.629674301
-1.447019835,-0.721801592
-0.274388491,1.598522599
-2.187393063,-0.920395957
0.223474418,2.607610918
0.185883697,1.860680067
0.246444471,0.709206342
-0.157831254,1.059318282
-1.169919492,-0.753591682
-0.578799204,1.322277261
1.194658159,0.77725662
0.287755328,0.224339928
-0.664297066,0.512402177
2.616604318,2.900753094
1.34871788,0.779441454
0.39867956,-0.004682166
-0.375236592,-1.384490876
-0.550657694,-0.100539702
1.512166587,1.202829333
-0.715271835,1.009462209
-0.109044077,0.157422464
-0.808391022,1.377730083
1.856630948,2.204349975
-0.145827028,-0.591970189
-0.594273419,1.620651132
1.472896785,2.102022889
0.451722135,0.312712839
-0.917237313,-1.022873252
0.411895983,1.010773313
1.110856146,1.071684899
-0.084709697,1.627516068
-0.979688153,0.616103051
0.970327745,2.120330395
-0.289581961,0.591426586
0.542525938,1.515220062
0.400304417,1.038327996
-0.117419516,0.820055694
1.386873627,3.684956135
1.058989311,2.200807192
0.032635172,1.252816853
-0.945181819,0.759842763
0.325606831,2.184411777
0.423745468,0.062882862
-1.372364328,0.64448445
0.538534997,2.304314921
0.166010709,2.004825926
-0.270478802,0.712015258
1.227679592,2.191574511
-1.838112797,-0.969780791
-0.02822963,2.599727932
0.654698707,3.160476203
-2.516422722,0.852183219
-1.055956881,0.885067977
0.402298161,1.75624617
-1.588066214,-1.443764033
0.550071333,0.668501064
-0.733307759,-0.217386248
-0.57255046,0.493652193
-0.188889256,1.00896999
0.532531027,1.638150532
0.169034383,1.830414657
-2.128299393,0.681220385
1.15436225,1.826524967
-0.27696283,1.163390048
0.883148364,3.09274765
-1.646077855,1.510929433
-1.439911443,-1.088379448
0.11305906,-0.144914507
-1.596131021,-0.891082259
2.759555677,1.623762494
-0.15562742,1.420922415
2.286937241,2.762472986
-0.25346553,0.911928894
-0.725369936,0.234878452
0.636656901,0.2196314
-0.379173915,1.483215813
1.737217561,1.25522639
-0.439233348,0.479567911
-0.693757524,0.900424999
0.519026229,2.711648563
1.121874261,0.176865965
-1.583528471,0.416505367
-1.632936091,-1.349026826
0.894929896,0.104983244
-1.532230615,0.634049945
0.515263641,2.019430535
-1.171073657,0.73661303
-2.395846855,-1.517518895
-0.323169324,0.871651913
1.611549638,-0.519792689
